base=17 width=4
---------------------------------
9IA0-7F5J=2346, 2346+NMLK=11111
BIA0-9F5J=2346, 2346+NMLK=11111
DIA0-BF5J=2346, 2346+NMLK=11111
EIA0-CF5J=2346, 2346+NMLK=11111
GIA0-EF5J=2346, 2346+NMLK=11111
B8C0-957J=2346, 2346+NMLK=11111
D8C0-B57J=2346, 2346+NMLK=11111
F8C0-D57J=2346, 2346+NMLK=11111
G8C0-E57J=2346, 2346+NMLK=11111
H8C0-F57J=2346, 2346+NMLK=11111
I8C0-G57J=2346, 2346+NMLK=11111
FBC0-D87J=2346, 2346+NMLK=11111
GBC0-E87J=2346, 2346+NMLK=11111
HBC0-F87J=2346, 2346+NMLK=11111
IBC0-G87J=2346, 2346+NMLK=11111
BDC0-9A7J=2346, 2346+NMLK=11111
GDC0-EA7J=2346, 2346+NMLK=11111
HDC0-FA7J=2346, 2346+NMLK=11111
IDC0-GA7J=2346, 2346+NMLK=11111
AEC0-8B7J=2346, 2346+NMLK=11111
FEC0-DB7J=2346, 2346+NMLK=11111
time used: 4.569552
number of solutions: 62811420

base=29 width=4
---------------------------------
9BA0-785N=2346, 2346+RQPO=11111
EBA0-C85N=2346, 2346+RQPO=11111
FBA0-D85N=2346, 2346+RQPO=11111
GBA0-E85N=2346, 2346+RQPO=11111
HBA0-F85N=2346, 2346+RQPO=11111
IBA0-G85N=2346, 2346+RQPO=11111
JBA0-H85N=2346, 2346+RQPO=11111
KBA0-I85N=2346, 2346+RQPO=11111
LBA0-J85N=2346, 2346+RQPO=11111
MBA0-K85N=2346, 2346+RQPO=11111
DCA0-B95N=2346, 2346+RQPO=11111
FCA0-D95N=2346, 2346+RQPO=11111
GCA0-E95N=2346, 2346+RQPO=11111
HCA0-F95N=2346, 2346+RQPO=11111
ICA0-G95N=2346, 2346+RQPO=11111
JCA0-H95N=2346, 2346+RQPO=11111
KCA0-I95N=2346, 2346+RQPO=11111
LCA0-J95N=2346, 2346+RQPO=11111
MCA0-K95N=2346, 2346+RQPO=11111
9EA0-7B5N=2346, 2346+RQPO=11111
FEA0-DB5N=2346, 2346+RQPO=11111
HEA0-FB5N=2346, 2346+RQPO=11111
IEA0-GB5N=2346, 2346+RQPO=11111
JEA0-HB5N=2346, 2346+RQPO=11111
KEA0-IB5N=2346, 2346+RQPO=11111
LEA0-JB5N=2346, 2346+RQPO=11111
MEA0-KB5N=2346, 2346+RQPO=11111
9FA0-7C5N=2346, 2346+RQPO=11111
BFA0-9C5N=2346, 2346+RQPO=11111
DFA0-BC5N=2346, 2346+RQPO=11111
GFA0-EC5N=2346, 2346+RQPO=11111
IFA0-GC5N=2346, 2346+RQPO=11111
JFA0-HC5N=2346, 2346+RQPO=11111
KFA0-IC5N=2346, 2346+RQPO=11111
LFA0-JC5N=2346, 2346+RQPO=11111
MFA0-KC5N=2346, 2346+RQPO=11111
9GA0-7D5N=2346, 2346+RQPO=11111
BGA0-9D5N=2346, 2346+RQPO=11111
EGA0-CD5N=2346, 2346+RQPO=11111
HGA0-FD5N=2346, 2346+RQPO=11111
JGA0-HD5N=2346, 2346+RQPO=11111
KGA0-ID5N=2346, 2346+RQPO=11111
LGA0-JD5N=2346, 2346+RQPO=11111
